PD-173074,Bicalutamide,Embelin,5-Fluorouracil,KIN001-055,MS-275,Shikonin,Imatinib,Vorinostat,Temozolomide,Mitomycin C,Cytarabine,Phenformin,Camptothecin,Doxorubicin,Etoposide,NSC-207895,Gemcitabine,AICAR,S-Trityl-L-cysteine,Bexarotene,Cisplatin,NSC-87877,SN-38,Gefitinib,CEP-701,Methotrexate,Docetaxel,BIRB 0796,Tipifarnib,SB 216763,LY317615,Erlotinib,Lapatinib,Sorafenib,Lenalidomide,Elesclomol,Bortezomib,Cyclopamine,ATRA,Thapsigargin,T0901317,Epothilone B,MG-132,IPA-3,DMOG,piperlongumine,Nilotinib,STF-62247,CCT018159,Tubastatin A,CCT007093,Tamoxifen,FTI-277,Dasatinib,FH535,QS11,EX-527,KU-55933,Bryostatin 1,AS605240,Vinorelbine,GNF-2,Bosutinib,Sunitinib,PD-0332991,Bleomycin,Bleomycin (50 uM),Salubrinal,LAQ824,EKB-569,Axitinib,Ispinesib Mesylate,17-AAG,Vinblastine,PIK-93,FK866,Temsirolimus,CI-1040,Belinostat,AR-42,Parthenolide,RO-3306,A-770041,Y-39983,BMS345541,PD-0325901,Midostaurin,SB 505124,(5Z)-7-Oxozeaenol,OSI-930,CP724714,PI-103,TPCA-1,TGX221,Zibotentan,Tivozanib,ZM-447439,AG-014699,EHT 1864,GW 441756,TAK-715,CHIR-99021,YM201636,SB52334,OSU-03012,Masitinib,BX-795,AS601245,Pazopanib,selumetinib,Afatinib,BAY 61-3606,Saracatinib,VX-702,681640,SL 0101-1,PHA-665752,AZD7762,YM155,MP470,NU-7441,AT-7519,GSK429286A,Obatoclax Mesylate,Nutlin-3a (-),TW 37,Linifanib,FR-180204,JNJ-26854165,GW-2580,JNK Inhibitor VIII,CAL-101,Crizotinib,KIN001-135,VX-11e,Linsitinib,ZSTK474,AMG-706,AZ628,Trametinib,PF-562271,BX-912,WH-4-023,Veliparib,BEZ235,TAE684,GSK269962A,CMK,MLN4924,TG101348,GSK690693,BHG712,Z-LLNle-CHO,GDC0941,BMS-509744,OSI-027,Olaparib,PLX4720,CUDC-101,SNX-2112,GDC0449,BMS-754807,AP-24534,AC220,VNLG/124,CAY10603,Navitoclax,GSK-650394,XL-184,GSK1904529A,Ruxolitinib,GSK2126458,MPS-1-IN-1,JNK-9L,CX-5461,AZD8055,Foretinib,AZD6482,KIN001-266,RDEA119,Dabrafenib,CP466722,YK 4-279,PHA-793887,UNC0638,XMD8-92,XMD8-85,BMS-708163,GSK1070916,JQ1,MK-2206,I-BET-762,CH5424802,WZ-1-84,JW-7-52-1,HG-6-64-1,NG-25,LFM-A13,IOX2,SGC0946,KIN001-244,UNC1215,ZG-10,KIN001-270,PFI-1,QL-XII-47,QL-X-138,Cetuximab,AKT inhibitor VIII,XAV939,PAC-1,SB590885,BMS-536924,KIN001-260,AUY922,Talazoparib,BIX02189
PSAP,ESRP2,LINC01089,PSAP,SPARC,CNKSR1,MAL2,SPARC,GSE1,KRT7,SPARC,MCAM,ESRP2,LMNA,CRIM1,SPARC,ANXA2,KRT7,ESRP2,GSE1,KRT7,LINC01089,KRT7,COL3A1,COL5A2,ESRP2,GSE1,PSAP,JUP,CPSF6,LMNA,LINC01089,FKBP10,PSAP,GSE1,AHNAK,KRT7,MYC,JUP,CNKSR1,CPSF6,LMNA,SPARC,SPARC,GSE1,PSAP,KRT7,SPARC,COL7A1,MAL2,MEF2D,ESRP2,ESRP2,GSE1,FKBP10,ANKRD36,LTBP1,COL7A1,SPARC,ESRP2,KRT7,SPARC,ESRP2,FKBP10,JUP,ANKRD36,JUP,CRIM1,SPARC,GSE1,LMNA,KRT7,JUP,ESRP2,PSAP,GSE1,GSE1,SPARC,ESRP2,JUP,PSAP,PLOD1,COL5A2,SPARC,COL8A1,GSE1,LINC01089,LMNA,PSAP,FKBP10,JUP,LINC01089,GSE1,GSE1,ESRP2,ILF3,SPARC,EVPL,LMNA,COPB1,LINC01089,COL5A2,LMNA,JUP,LMNA,PLOD1,COL8A1,JUP,KRT7,COL7A1,COL5A2,LMNA,ESRP2,LTBP3,CNKSR1,KRT7,KRT7,PSAP,EVPL,ESRP2,GSE1,COL7A1,GSE1,ESRP2,SPARC,CRIP2,JUP,COL7A1,MCAM,COL8A1,ESRP2,GSE1,DBN1,SFPQ,SPARC,ANXA2,EVPL,COL7A1,PSAP,LTBP1,ESRP2,PSAP,GSE1,CNKSR1,CRIM1,PSAP,COL3A1,COL7A1,GSE1,JUP,GSE1,LINC01089,ESRP2,CNKSR1,SPARC,CNKSR1,GSE1,SFPQ,ESRP2,GSE1,GSE1,PLOD1,PSAP,PLOD1,SPARC,MYC,PSAP,LMNA,CRIM1,PLOD1,MEF2D,PEA15,ILF3,PSAP,ANP32B,LINC01089,GSE1,VIM,EVPL,SPNS2,LMNA,KRT7,PSAP,FKBP10,GSE1,MEF2D,PLOD1,SPARC,ESRP2,LMNA,COL3A1,CPSF6,GSE1,SPARC,CTTN,PSAP,COL8A1,PSAP,COL7A1,GSE1,ESRP2,LMNA,LMNA,PLOD1,COL8A1,KRT7,KRT7,ESRP2,PSAP,GSE1,PSAP,SPARC,ESRP2,GORASP2,PSAP,LINC01089,SPARC,COL7A1
LINC01089,LMNA,PSAP,JUP,PSAP,PLOD1,CPSF6,ESRP2,JUP,LINC01089,AHNAK,LINC01089,COL7A1,COL5A2,DBN1,FAT1,ILF3,SPARC,COL5A2,FKBP10,SPARC,ESRP2,LINC01089,ANKRD36,LINC01089,LMNA,JUP,LMNA,MEF2D,GJB3,ESRP2,LMNA,CPSF6,SPARC,ESRP2,ESRP2,LMNA,PSAP,CNKSR1,PLOD1,POLR2A,LINC01089,CTTN,FAT1,ESRP2,VIM,PSAP,COL7A1,COL8A1,FKBP10,JUP,LMNA,SPARC,JUP,PLOD1,TCOF1,ANP32B,SPARC,ESRP2,LMNA,LINC01089,ESRP2,SPARC,COL3A1,LINC01089,MYC,PLOD1,LMNA,CTTN,JUP,ILF3,LINC01089,GSE1,LMNA,VIM,PSAP,JUP,LMNA,PTMS,GSE1,JUP,CPSF6,LMNA,ESRP2,ILF3,JUP,COL5A2,SPARC,SPARC,COL3A1,COL8A1,ACTB,JUP,JUP,EVPL,KRT7,ESRP2,COL8A1,CTTN,TTYH3,LMNA,LINC01089,JUP,GSE1,COL5A2,FKBP10,ILF3,SPARC,LINC01089,LMNA,LINC01089,ESRP2,GSE1,GSE1,FKBP10,COL7A1,LINC01089,VIM,JUP,LMNA,JUP,LMNA,PSAP,LMNA,ESRP2,SPARC,LMNA,POLR2A,MAL2,LINC01089,LMNA,JUP,ANP32B,GSE1,EVPL,COL7A1,SPARC,LMNA,COL5A2,ADPGK,LMNA,ESRP2,JUP,FKBP10,LINC01089,SPARC,SFPQ,ESRP2,SFPQ,LINC01089,JUP,COL7A1,POLR2A,ADPGK,ESRP2,FKBP10,JUP,LINC01089,SPARC,JUP,JUP,FKBP10,ESRP2,KRT19,ESRP2,SFPQ,JUP,COL7A1,AHNAK,MAL2,JUP,PNN,COL8A1,JUP,FKBP10,LMNA,COL8A1,CRIM1,KRT7,CTSZ,COL7A1,SPARC,JUP,GJB3,JUP,JUP,CPSF6,MYC,LMNA,LINC01089,ACTB,FKBP10,JUP,GSE1,GSE1,CPSF6,SPARC,COL8A1,LINC01089,JUP,PTMS,ESRP2,LINC01089,COL3A1,SPARC,LINC01089,SPARC,LMNA,JUP,JUP,JUP,ESRP2,EVPL,ITGBL1,GSE1,MCAM,JUP,LMNA
LTBP1,COL5A2,CRIM1,ILF3,VIM,FKBP10,PLOD1,PSAP,COL5A2,SPARC,CTTN,FKBP10,LMNA,SPARC,PSAP,CPSF6,LMNA,EVPL,LMNA,CNKSR1,FKBP10,COL7A1,SPARC,MAL2,COL7A1,COL5A2,ILF3,EVPL,COL5A2,ANP32B,JUP,KRT7,CNKSR1,VIM,DBN1,SPARC,JUP,ILF3,FKBP10,FKBP10,FAT1,ESRP2,AHNAK,CRIP2,PSAP,FKBP10,FKBP10,CPSF6,PTMS,MYC,ILF3,COL5A2,PSAP,ILF3,POLR2A,FKBP10,SFPQ,GSE1,PSAP,COL5A2,EVPL,PSAP,PTMS,CPSF6,ACTB,CNKSR1,ACTB,EVPL,DBN1,ILF3,ESRP2,SPARC,ILF3,JUP,LTBP1,ILF3,COL5A2,LTBP1,LMNA,COL5A2,COL5A2,KRT19,LINC01089,EVPL,KRT7,ILF3,LMNA,JUP,ILF3,HSP90B1,ILF3,HSP90B1,ILF3,ILF3,PSAP,ESRP2,PSAP,SPARC,LTBP1,CTSZ,KRT7,LMNA,EVPL,ILF3,COL7A1,COL3A1,ESRP2,LMNA,SPARC,LINC01089,LMNA,JUP,LTBP3,MGAT4B,PLOD1,ESRP2,SPARC,ESRP2,ASPH,COL7A1,ILF3,LINC01089,ILF3,SPARC,ILF3,FAT1,COL5A2,KRT7,ANKRD36,SPARC,COL5A2,COL5A2,GSE1,LTBP1,AHNAK,LINC01089,ESRP2,KRT7,JUP,SFPQ,LTBP1,SPARC,ILF3,PLOD1,PSAP,LINC01089,GSE1,LMNA,MYC,GSE1,COL5A2,ESRP2,ILF3,PSAP,PSAP,MAL2,ILF3,CNKSR1,PSAP,ILF3,ILF3,COL3A1,SPARC,MCAM,PSAP,ENO2,ILF3,SPARC,LINC01089,CPSF6,COL5A2,CTSZ,LMNA,ILF3,CNKSR1,COL7A1,ILF3,PSAP,SPARC,WDR5,ESRP2,LINC01089,ILF3,MCAM,COL5A2,ILF3,MAL2,GSE1,SPARC,COL5A2,CNKSR1,COL3A1,COL5A2,ANP32B,MYC,FKBP10,ESRP2,ILF3,ILF3,COL5A2,COL7A1,COL7A1,SPARC,POLR2A,EVPL,SPARC,LMNA,LINC01089,COL5A2,ILF3,ILF3,PSAP,SPARC,PNN,ILF3,GSE1,LMNA,SPARC
ENO2,SPARC,CTTN,COL5A2,PTMS,GSE1,GSE1,AHNAK,ILF3,LMNA,LINC01089,GSE1,ILF3,JUP,CTTN,LINC01089,COL7A1,LINC01089,KRT7,PLOD1,COL5A2,ILF3,LMNA,ENO2,LMNA,SPARC,COL5A2,CTTN,LMNA,SFPQ,SPARC,SPARC,PSAP,EVPL,ANP32B,PSAP,SPARC,ANKRD36,PLOD1,ACTB,EHBP1L1,ILF3,LINC01089,KRT19,ILF3,COL8A1,CNKSR1,GSE1,SPARC,COL3A1,COL5A2,SPARC,LINC01089,COL5A2,GJB3,GSE1,MYC,ILF3,PTMS,KRT7,SPARC,LINC01089,ILF3,GSE1,GSE1,FKBP10,POLR2A,KRT7,PSAP,COL5A2,COL7A1,LMNA,COL5A2,LTBP1,LMNA,LMNA,ILF3,COL5A2,SPARC,ILF3,ILF3,GSE1,COL7A1,PSAP,SPARC,COL5A2,COL7A1,FKBP10,VIM,LMNA,LMNA,ADGRG1,COL5A2,COL5A2,AHNAK,ANXA2,ILF3,POLR2A,JUP,DNAJB2,COL5A2,ESRP2,SPARC,LMNA,ILF3,GSE1,SPARC,FKBP10,LMNA,ANXA2,COL7A1,ANXA2,ILF3,MYC,COL3A1,SPARC,LMNA,SPARC,KRT7,ANXA2,LMNA,ILF3,LMNA,KRT7,PSAP,LINC01089,KRT7,LINC01089,LTBP3,EVPL,KRT7,ILF3,MYC,ANKRD36,PSAP,LMNA,PSAP,SPARC,ILF3,LINC01089,JUP,ILF3,COL5A2,GSE1,POLR2A,COL8A1,MCAM,PTMS,LTBP1,ACTB,ILF3,ANXA2,LMNA,ANP32B,ANP32B,PLOD1,COL5A2,ENO2,EVPL,COL5A2,LMNA,GSE1,AHNAK,GSE1,LINC01089,MCAM,COL5A2,PTMS,PSAP,COL3A1,LMNA,PSMD2,ESRP2,LMNA,MAL2,ESRP2,LMNA,COL8A1,JUP,PSMD2,PTMS,EVPL,COL5A2,GSE1,ILF3,LMNA,GSE1,ILF3,KRT7,ILF3,FAT1,MAL2,ILF3,ILF3,ANP32B,CNKSR1,KRT7,LMNA,LMNA,ILF3,COL5A2,LINC01089,KRT7,GSE1,LINC01089,LMNA,LINC01089,COL7A1,ILF3,COL5A2,LMNA,ANP32B,PSAP,COL1A1,LMNA,COL3A1,FKBP10,LINC01089
ADPGK,KRT7,VIM,LMNA,ILF3,ANP32B,COL3A1,LINC01089,LMNA,ILF3,PSAP,JUP,LINC01089,FKBP10,LINC01089,HSP90B1,KRT7,LMNA,SPARC,TCOF1,JUP,LMNA,EVPL,PLOD1,ESRP2,KRT7,LMNA,KRT7,ILF3,MCAM,KRT7,COL5A2,SFPQ,PTMS,PSAP,EVPL,FKBP10,FKBP10,FAT1,TCOF1,CRIP2,COL7A1,PSAP,LINC01089,ANP32B,CNKSR1,SPARC,ESRP2,EVPL,ENO2,LMNA,PTMS,ILF3,LMNA,GSE1,MAL2,ANKRD36,PTMS,ILF3,SPARC,LMNA,AHNAK,PSAP,MAL2,ADGRG1,ENO2,GJB3,FKBP10,LINC01089,LMNA,SPARC,ILF3,LMNA,SPARC,FKBP10,SPARC,LMNA,ASPH,KRT7,LMNA,LMNA,ADGRG1,ESRP2,AHNAK,LMNA,LMNA,ESRP2,COL5A2,EVPL,PSAP,LINC01089,GSE1,LMNA,LMNA,LINC01089,SPARC,DBN1,LINC01089,KRT7,C1QBP,SPARC,COL7A1,LTBP1,COL5A2,PTMS,GJB3,KRT7,COL5A2,EVPL,ILF3,ESRP2,PTMS,MYC,MEF2D,TCOF1,ANXA2,EVPL,ILF3,SPARC,KRT7,COL5A2,KRT7,COL5A2,COL5A2,AHNAK,HSP90B1,SPARC,ILF3,ANP32B,LMNA,ILF3,LMNA,PSAP,LTBP3,ILF3,ILF3,ILF3,LINC01089,LMNA,MCAM,KRT7,VIM,LMNA,COL3A1,LMNA,LMNA,GJB3,ANXA2,ANKRD36,HSP90B1,LMNA,COL5A2,COL7A1,LINC01089,PTMS,GSE1,LMNA,ANKRD36,ILF3,LMNA,COL5A2,GJB3,ILF3,GJB3,AHNAK,LTBP1,LMNA,COL5A2,CTTN,GSE1,ILF3,WDR5,MEF2D,COL5A2,GSE1,ILF3,SPARC,LMNA,ASPH,FUBP3,SPARC,LMNA,LMNA,JUP,LMNA,COL5A2,COL3A1,PTMS,ILF3,ESRP2,COL18A1,GJB3,LMNA,PSAP,ENO2,SFPQ,LMNA,SPARC,KRT7,LMNA,ANXA2,COL5A2,ILF3,GJB3,POLR2A,ILF3,ILF3,COL5A2,LMNA,LMNA,COL5A2,DBN1,ILF3,CNTROB,SPARC,FKBP10,COL5A2,KRT7
ILF3,ILF3,LMNA,LINC01089,EVPL,COL3A1,GJB3,ILF3,SPARC,EVPL,ILF3,PLOD1,SPARC,CNKSR1,LTBP1,EHBP1L1,SPARC,ILF3,ILF3,COL3A1,CNKSR1,POLR2A,ILF3,MYC,SPARC,ILF3,CTSD,FKBP10,LINC01089,PSAP,ANXA2,ILF3,MCAM,ILF3,LINC01089,ILF3,CNKSR1,LTBP1,TCOF1,FAT1,HSP90B1,COL5A2,ILF3,EHBP1L1,LINC01089,DBN1,HSP90B1,DBN1,ILF3,PSAP,LINC01089,ANXA2,AHNAK,LINC01089,LINC01089,CNKSR1,MCAM,PSAP,AHNAK,EVPL,ILF3,ILF3,LINC01089,TCOF1,KRT19,COL3A1,LINC01089,JUP,AHNAK,LINC01089,LINC01089,EVPL,SPARC,KRT7,CNKSR1,ESRP2,SPARC,CRIM1,ILF3,CTSD,SPARC,ACTB,ILF3,ILF3,ESRP2,CTSD,ILF3,CNKSR1,LINC01089,COL5A2,SPARC,JUP,SPARC,SPARC,ILF3,LMNA,LINC01089,LMNA,EVPL,RGS3,ILF3,SPARC,KRT7,LINC01089,KRT7,ANP32B,LMNA,CNKSR1,ILF3,SPARC,SPARC,LTBP1,DBN1,ILF3,GSE1,LMNA,ILF3,LINC01089,FKBP10,SPARC,SPARC,SPARC,SPARC,EVPL,LINC01089,EHBP1L1,EVPL,LMNA,FKBP10,POLR2A,SPARC,LINC01089,ENO2,FKBP10,PTMS,COL5A2,AHNAK,ILF3,LINC01089,ENO2,EVPL,LINC01089,SPARC,MAL2,COL8A1,ILF3,ADGRG1,SPARC,LINC01089,ADGRG1,LINC01089,ILF3,SPARC,SFPQ,ILF3,COL3A1,LINC01089,COL3A1,LINC01089,LINC01089,LINC01089,MAL2,EVPL,LINC01089,ILF3,ASPH,SPARC,ILF3,LTBP1,GJB3,LINC01089,LTBP1,KRT7,LINC01089,PLOD1,COL5A2,ESRP2,POLR2A,FKBP10,AATF,ANXA2,ILF3,LINC01089,HSP90B1,LINC01089,LINC01089,GJB3,PSAP,PTMS,COL7A1,FKBP10,TCOF1,SPARC,LINC01089,ADPGK,MCAM,LINC01089,COL7A1,SPARC,SPARC,SPARC,ILF3,COL5A2,LINC01089,ILF3,EVPL,PTMS,ILF3,LINC01089,SPARC,LINC01089,LINC01089,LINC01089,OTUD5,ESRP2,POLR2A,CNKSR1,ILF3
FKBP10,PTMS,LTBP1,SPARC,LINC01089,TCOF1,LINC01089,LTBP1,CTSD,COL5A2,COL8A1,ACTB,KRT7,LCN2,AHNAK,ADGRG1,POLR2A,POLR2A,EVPL,MAL2,LCN2,SPARC,COL5A2,AHNAK,ILF3,EVPL,SPARC,ARID1B,SPARC,PLOD1,EVPL,EVPL,PLOD1,LINC01089,ILF3,LINC01089,HSP90B1,CRIM1,CRIP2,GJB3,TCOF1,SPARC,COL8A1,HSP90B1,DBN1,ANKRD36,FLNA,PSAP,LINC01089,PLOD1,ESRP2,KRT7,ANP32B,SPARC,ACTB,PLOD1,FKBP10,LINC01089,LINC01089,ILF3,COL5A2,DBN1,AHNAK,ADGRG1,TCOF1,ADPGK,GSE1,SPARC,ILF3,SPARC,KRT7,COL5A2,LINC01089,EVPL,ILF3,COL5A2,LINC01089,FKBP10,COL5A2,SPARC,LINC01089,TCOF1,SPARC,LINC01089,COL7A1,SPARC,SPARC,ARID1B,LMNA,FLNA,COL5A2,EHBP1L1,LINC01089,LINC01089,LMNA,COL8A1,AHNAK,VIM,SPARC,SLC4A1AP,EVPL,ILF3,FKBP10,SPARC,SPARC,CPSF6,COL7A1,LCN2,COL5A2,KRT7,ILF3,SPARC,MGAT4B,PSAP,ACTB,COL8A1,COL5A2,EVPL,CRIM1,LINC01089,LINC01089,COL5A2,LINC01089,ILF3,PTMS,AATF,ILF3,ANXA2,MYC,ILF3,EVPL,SPARC,ADPGK,CNKSR1,LINC01089,SPARC,ANP32B,COL5A2,SPARC,PSAP,SPARC,EVPL,LINC01089,TCOF1,CTTN,POLR2A,LCN2,KRT7,PSAP,POLR2A,SPARC,KRT7,KRT7,PLOD1,LINC01089,ANP32B,ESRP2,FKBP10,PTMS,SPARC,SPARC,TCOF1,ANP32B,ADGRG1,LMNA,LINC01089,LINC01089,KRT7,DBN1,ADGRG1,COL7A1,COL6A2,COL7A1,ESRP2,COL3A1,SPARC,LINC01089,CTTN,CRIM1,GORASP2,KRT7,VIM,SPARC,ACTB,SPARC,ESRP2,LINC01089,LINC01089,COL5A2,SPARC,PLOD1,GSE1,LINC01089,LTBP1,PSAP,PLOD1,ILF3,ESRP2,ANXA2,LINC01089,KRT7,SPARC,PTMS,ACTB,LMNA,COL5A2,COL5A2,KRT7,SPARC,LINC01089,SPARC,ILF3,COL8A1,COX8A,KRT7,PLOD1,LCN2,ANXA2
CRIM1,ANXA2,ILF3,CTSD,LMNA,MAL2,ADGRG1,LMNA,LINC01089,POLR2A,LMNA,CRIP2,COL5A2,ARID1B,ADPGK,TCOF1,LINC01089,VIM,FKBP10,ANP32B,HSP90B1,KRT7,PTMS,PSAP,KRT7,LTBP1,LINC01089,JUP,ESRP2,COL3A1,LTBP1,LTBP1,LINC01089,LMNA,ADPGK,LMNA,ARID1B,ENO2,GJB3,GSE1,JUP,KRT7,LMNA,TCOF1,AHNAK,COL3A1,ARID1B,ILF3,LMNA,POLR2A,SPARC,ILF3,PTMS,COL7A1,TCOF1,COL3A1,PSAP,AHNAK,ANP32B,LTBP1,POLR2A,LTBP1,ANP32B,GJB3,FAT1,SFPQ,FAT1,ARID1B,LTBP1,ESRP2,COL5A2,POLR2A,ESRP2,FKBP10,DBN1,COL7A1,CTSD,ILF3,ANXA2,LINC01089,CTSD,LINC01089,KRT7,ANP32B,LINC01089,LINC01089,KRT7,COL3A1,COL8A1,SPARC,ESRP2,LCN2,CTSD,CTSD,COL8A1,LINC01089,ANP32B,ILF3,FKBP10,PNN,FKBP10,KRT7,CTTN,ESRP2,ANXA2,ADGRG1,LINC01089,COL3A1,POLR2A,COL5A2,KRT7,KRT7,PSAP,LINC01089,FAT1,LINC01089,POLR2A,LMNA,ARID1B,POLR2A,CTSD,ANXA2,ESRP2,FKBP10,ANP32B,ADGRG1,LTBP1,SPARC,CNKSR1,COL5A2,PTMS,CTSD,LTBP1,MYC,LMNA,KRT7,LINC01089,ANXA2,COL7A1,ANKRD36,FKBP10,LMNA,ESRP2,ANP32B,ILF3,VIM,PSAP,ILF3,FKBP10,GJB3,ESRP2,SPARC,LINC01089,MCAM,AHNAK,TCOF1,SPARC,MCAM,LMNA,ESRP2,ESRP2,ADGRG1,LINC01089,MAL2,LTBP1,PSAP,ESRP2,ANXA2,FKBP10,LINC01089,SPARC,LUZP1,SPARC,SPARC,TCOF1,KRT7,KRT7,ILF3,CNKSR1,PNN,ILF3,POLR2A,ESRP2,ADGRG1,ESRP2,SPARC,TCOF1,MEF2D,EVPL,KRT7,TCOF1,ADGRG1,CTSD,FKBP10,LTBP1,LTBP3,ANXA2,KRT7,COL5A2,CTSD,ILF3,KRT7,EVPL,TCOF1,PTMS,POLR2A,EVPL,SPARC,CTSD,CTSD,ESRP2,AHNAK,LMNA,LUZP1,COL7A1,ACTB,VIM,COL5A2
ASPH,EVPL,FKBP10,ESRP2,COL8A1,PSAP,PSAP,DBN1,ESRP2,VIM,LTBP1,FAT1,POLR2A,FLNA,ILF3,AATF,COL5A2,COL5A2,LTBP1,PSAP,FLNA,COL5A2,POLR2A,SFPQ,FKBP10,FKBP10,ESRP2,SPARC,COL7A1,LINC01089,ILF3,FKBP10,ANKRD36C,COL8A1,ENO2,COL8A1,FLNA,LINC01089,GSE1,EHBP1L1,ADGRG1,POLR2A,LTBP1,ADGRG1,LTBP1,LMNA,COL3A1,CTSD,VIM,AHNAK,COL7A1,EVPL,DBN1,ESRP2,FAT1,FAT1,ILF3,LMNA,LMNA,FKBP10,PTMS,LMNA,LMNA,FAT1,EHBP1L1,PSAP,TCOF1,CTTN,ADPGK,COL7A1,POLR2A,FKBP10,KRT7,ARID1B,ANKRD36,LINC01089,ESRP2,CTTN,EVPL,ESRP2,ESRP2,LCN2,EVPL,LMNA,MEF2D,ANP32B,POLR2A,LCN2,PTMS,JUP,KRT7,FAT1,ANP32B,ESRP2,PTMS,EVPL,LTBP1,LTBP1,ARID1B,SPNS2,LTBP1,POLR2A,ILF3,KRT7,EVPL,LINC01089,MEF2D,ILF3,PTMS,EVPL,FKBP10,EVPL,ANKRD36,DBN1,ADGRG1,EVPL,LTBP1,COL8A1,FLNA,COL5A2,ESRP2,POLR2A,COL7A1,LTBP1,LMNA,TCOF1,FKBP10,COL5A2,ILF3,VIM,ANXA2,COL7A1,ILF3,PSAP,COL8A1,EVPL,LMNA,EVPL,ESRP2,FKBP10,ARID1B,COL8A1,CTSD,PSAP,FKBP10,LTBP1,MAL2,EVPL,ANP32B,EHBP1L1,COL7A1,EVPL,COL5A2,MYC,DBN1,ADGRG1,COL7A1,MYC,COL8A1,KRT7,KRT7,ACTB,LMNA,PSAP,ANP32B,CRIM1,CTSD,EVPL,COL8A1,TCOF1,ESRP2,FUBP3,LINC01089,KRT7,PSAP,EVPL,COL7A1,FKBP10,ARID1B,LTBP1,EVPL,COL5A2,KRT7,COL18A1,COL7A1,COL7A1,ADGRG1,DBN1,ANXA2,POLR2A,GSE1,FAT1,ESRP2,LMNA,MCAM,LINC01089,EVPL,LINC01089,EVPL,ESRP2,EVPL,EVPL,ANXA2,ADGRG1,VIM,PTMS,ANXA2,EVPL,ESRP2,ESRP2,CTSD,LTBP1,FKBP10,CTDSP1,LINC01089,MAL2,ILF3,EVPL
ANP32B,FKBP10,COL5A2,COL7A1,FKBP10,ADGRG1,LCN2,FKBP10,COL7A1,FKBP10,FKBP10,MAL2,EVPL,HSP90B1,ANKRD36,ITM2C,EVPL,FKBP10,MATN2,ACTB,ARID1B,EVPL,VIM,ADPGK,EVPL,MATN2,ANP32B,FLNA,KRT7,ANKRD36C,FKBP10,PTMS,COL3A1,FKBP10,AHNAK,ANP32B,COL3A1,ASPH,LINC01089,LINC01089,LINC01089,EVPL,FKBP10,AATF,PTMS,PLOD1,JUP,MYC,ANXA2,SFPQ,KRT7,LTBP1,LTBP1,KRT7,ADGRG1,ACTB,CNKSR1,LTBP1,COL8A1,MATN2,LTBP1,COL8A1,COL8A1,ACTB,GJB3,PLOD1,CRIP2,FLNA,ANKRD36,KRT7,EVPL,VIM,COL7A1,FLNA,COL5A2,KRT7,COL7A1,CNKSR1,POLR2A,COL7A1,COL7A1,GJB3,LTBP1,COL8A1,COL5A2,ESRP2,EVPL,HSP90B1,COL5A2,ARID1B,COL7A1,CRIP2,ESRP2,KRT7,ANP32B,VIM,PTMS,FKBP10,FLNA,CUX1,NOP53,EVPL,ARID1B,COL7A1,LTBP1,PSAP,COL5A2,ARID1B,LTBP1,POLR2A,EVPL,FKBP10,LTBP1,FKBP10,MAL2,VIM,VIM,ANP32B,CNKSR1,EVPL,ANP32B,EVPL,KRT7,LCN2,LTBP1,ITM2C,MATN2,EVPL,PLOD1,FKBP10,FKBP10,ESRP2,LINC01089,PLOD1,ANP32B,POLR2A,COL8A1,POLR2A,KRT7,CNKSR1,FLNA,COL5A2,KRT7,ADGRG1,LTBP1,FKBP10,HSP90B1,LTBP1,CNKSR1,LCN2,KRT7,FKBP10,EVPL,ANKRD36C,LMNA,PSAP,KRT7,PLOD1,FKBP10,CTSD,COL7A1,PSAP,COL8A1,LCN2,DBN1,ANKRD36,COL7A1,FKBP10,SFPQ,PSAP,KRT7,CTDSP1,COL5A2,COL7A1,ILF3,POLR2A,COL5A2,LTBP1,LCN2,SSBP1,FKBP10,LTBP1,CTSD,CRIP2,KRT7,KRT7,PSAP,LTBP1,POLR2A,EVPL,CRIP2,ACTB,COL7A1,ANKRD36,SFPQ,MYC,COL5A2,COL5A2,POLR2A,COL7A1,FKBP10,POLR2A,POLR2A,FAT1,COL5A2,VIM,POLR2A,FKBP10,COL7A1,COL7A1,COL7A1,ADPGK,LTBP1,C1QBP,COL5A2,LTBP3,COL3A1,POLR2A
